id,Station Name,Address_1,Address  2,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Subcategory,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
356,BURNET FLATS / BURNET FLATS G1,5453 Burnet Rd,,Austin,Texas,78756,2,,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"5453 Burnet Rd
Austin, Texas 3644
(30.330112986, -97.739581968)",,40A
357,NRP GROUP / MARTINGALE 2,8100 S Congress Ave,,Austin,Texas,78748,2,$4.17/month PIE members $2/hr Non-Members,The Martingale Access Policy,Multi-family Commercial,Apartment,J1772,240V,J1772,"8100 S Congress Ave
Austin, Texas 3637
(30.178167983, -97.785250013)",$4.17/month PIE members $2/hr Non-Members,40A
358,PIE AE / PUBHILL.CGAL2,12701 Hill Country Blvd,,Bee Cave,Texas,78738,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"12701 Hill Country Blvd
Bee Cave, Texas 3254
(30.308093014, -97.939045028)",$4.17/month PIE members $2/hr Non-Members,40A
359,INDEED TOWER / B3 CORE- ST 1,200 W 6th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"200 W 6th St
Austin, Texas 2856
(30.268915999, -97.74474698)",$4.17/month PIE members $2/hr Non-Members,40A
360,AMD GO GREEN / P300 FL2,7171 Southwest Pkwy,,Austin,Texas,78735,2,,AMD Lone Star,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Pkwy
Austin, Texas 3251
(30.251202984, -97.863350994)",,40A
361,PIE AE / MILWOOD LIB 1,12500 Amherst Dr,,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"12500 Amherst Dr
Austin, Texas 3243
(30.42233299, -97.716188998)",$4.17/month PIE members $2/hr Non-Members,40A
362,DOMAIN. / DOMAIN TW 04,10721 Domain Drive,,Austin,Texas,78758,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10721 Domain Drive
Austin, Texas 3646
(30.392804006, -97.722992002)",,40A
363,5TH & COLORADO / 5TH & COLORADO1,201 W 5th St,,Austin,Texas,78701,2,,All Drivers,Workplace,General,J1772,240V,J1772,"201 W 5th St
Austin, Texas 2856
(30.267339992, -97.745003969)",,40A
364,YETI RAMBLERS / EVSE4,7601 Southwest Pkwy,,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Yeti Coolers,Workplace,General,J1772,240V,J1772,"7601 Southwest Pkwy
Austin, Texas 3251
(30.25580599, -97.872517024)",$4.17/month PIE members $2/hr Non-Members,40A
365,1801 E 6TH / AUSTIN 1801 1,1805 E 6th St,,Austin,Texas,78702,2,,All Drivers,Parking,Commercial,J1772,240V,J1772,"1805 E 6th St
Austin, Texas 2857
(30.26175098, -97.723689963)",,40A
366,HAWTHORNE / STATION 1,2239 Cromwell Cir,,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"2239 Cromwell Cir
Austin, Texas 3256
(30.228374996, -97.718498967)",$4.17/month PIE members $2/hr Non-Members,40A
367,GALLERY DOMAIN / GALLERY DOMAIN,11100 Alterra Pkwy,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"11100 Alterra Pkwy
Austin, Texas 3646
(30.39582728, -97.721956459)",$4.17/month PIE members $2/hr Non-Members,40A
368,AISD / TRAVIS2,1211 E Oltorf St.,,Austin,Texas,78704,2,,All Drivers,Education,High School / Other,J1772,240V,J1772,"1211 E Oltorf St.
Austin, Texas 2859
(30.233693021, -97.744263009)",,40A
369,PIE AE / MUELLERHQ P3-1,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,40A
370,AUSTIN DOT / PDC EV #8,6310 Wilhelmina Delco Drive,,Austin,Texas,78752,2,,All Drivers,Workplace,General,J1772,240V,J1772,"6310 Wilhelmina Delco Drive
Austin, Texas 3641
(30.26759, -97.74299)",,40A
371,LAMARHEIGHTS-AE / LAMAR 1,5400 N Lamar Blvd,,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"5400 N Lamar Blvd
Austin, Texas 3644
(30.321987989, -97.729453024)",$4.17/month PIE members $2/hr Non-Members,40A
372,HEB / OFF NETWORK 1,2000 Ranch Rd 620 S,,Lakeway,Texas,78734,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Retail,Big Box / Superstore,J1772,240V,J1772,"2000 Ranch Rd 620 S
Lakeway, Texas 3250
(30.344797997, -97.968195024)",$4.17/month PIE members $2/hr Non-Members,
373,DOMAIN. / DOMAIN TW 02,10721 Domain Drive,,Austin,Texas,78758,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10721 Domain Drive
Austin, Texas 3646
(30.392804006, -97.722992002)",,40A
374,PIE AE / TLC STATION 1,721 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"721 Barton Springs Rd
Austin, Texas 2859
(30.258649006, -97.751976036)",$4.17/month PIE members $2/hr Non-Members,40A
375,SAS / STATION 1,12100 Samsung Blvd,,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"12100 Samsung Blvd
Austin, Texas 3643
(30.374996988, -97.637508995)",$4.17/month PIE members $2/hr Non-Members,40A
376,PIE AE / PALMER STATION8,846888 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"846888 Barton Springs Rd
Austin, Texas 2859
(30.267041431, -97.770683881)",$4.17/month PIE members $2/hr Non-Members,40A
377,3600WESTPARMER! / STATION 1,3600 W Parmer Ln,,Austin,Texas,78727,2,,All Drivers,Retail,Shopping Center,J1772,240V,J1772,"3600 W Parmer Ln
Austin, Texas 3243
(30.424233, -97.71010097)",,40A
378,COA / LOT J SW,10200 Hotel Drive,,Austin,Texas,78719,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10200 Hotel Drive
Austin, Texas 2863
(30.205143291, -97.660903055)",,40A
379,HEB / HEB LAKEWAY #2,2000 Ranch Rd 620 S,,Lakeway,Texas,78734,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Retail,Big Box / Superstore,J1772,240V,J1772,"2000 Ranch Rd 620 S
Lakeway, Texas 3250
(30.344797997, -97.968195024)",$4.17/month PIE members $2/hr Non-Members,40A
380,PIE AE / ZILKERPARKPOLO1,2225 Andrew Zilker Rd,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parks and Recreation,,J1772,240V,J1772,"2225 Andrew Zilker Rd
Austin, Texas 3260
(30.26522398, -97.774194031)",$4.17/month PIE members $2/hr Non-Members,40A
381,DOMAIN / LEFT STATION,11501 Alterra Pkwy,,Austin,Texas,78758,1,,All Drivers,Multi-family Commercial,Condominium,J1772,240V,J1772,"11501 Alterra Pkwy
Austin, Texas 3646
(30.400938015, -97.719188965)",,40A
382,PIE AE / TRAVIS CO L2,316 W 8th St,,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"316 W 8th St
Austin, Texas 2856
(30.270844446, -97.745155983)",$4.17/month PIE members $2/hr Non-Members,40A
383,ENDEAVOR REG / 2500 BEE CAVES3,2500 Bee Caves Rd.,,Austin,Texas,78746,2,,Tenant Only,Workplace,General,J1772,240V,J1772,"2500 Bee Caves Rd.
Austin, Texas 3260
(30.268663997, -97.784114013)",,40A
384,AMD GO GREEN / P100 FL4 OUTER,7171 Southwest Pkwy,,Austin,Texas,78735,2,,AMD Lone Star,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Pkwy
Austin, Texas 3251
(30.251202984, -97.863350994)",,40A
385,ACC / AE HLC GAR 4F1,6018 WILHELMINA DELCO DR,,Austin,Texas,78752,2,,All Drivers,Education,University / College,J1772,240V,J1772,"6018 WILHELMINA DELCO DR
Austin, Texas 3641
(30.3166, -97.6575)",,40A
386,PIE AE / PUB ACC EVIEW2,3401 Webberville Rd,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"3401 Webberville Rd
Austin, Texas 2857
(30.268334001, -97.706759021)",$4.17/month PIE members $2/hr Non-Members,40A
387,ZOEY AUSTIN / ZOEY - LEVEL 3,5700 E Riverside Dr,,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,--,J1772,"5700 E Riverside Dr
Austin, Texas 3256
(30.228463006, -97.709738034)",$4.17/month PIE members $2/hr Non-Members,40A
388,LADERA BEND / GATED GARAGE GW,7300 Ranch Rd 2222,,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"7300 Ranch Rd 2222
Austin, Texas 3639
(30.372443986, -97.802253039)",$4.17/month PIE members $2/hr Non-Members,40A
389,PIE AE / PUBWYNDHAMGARD1,1600 Woodward St,,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"1600 Woodward St
Austin, Texas 3256
(30.223015898, -97.746966312)",$4.17/month PIE members $2/hr Non-Members,40A
390,DCMC GARAGE 3 / EV STATION 3,4924 Mueller/Barbara Jordan,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4924 Mueller/Barbara Jordan
Austin, Texas 3239
(30.30385548, -97.704084562)",,40A
391,PIE AE / SMART CHARGE 2,2016 Centimeter Cir,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"2016 Centimeter Cir
Austin, Texas 3646
(30.381075, -97.71429804)",$4.17/month PIE members $2/hr Non-Members,40A
392,AISD / KEALING1,1607 Pennsylvania Ave,,Austin,Texas,78702,2,,All Drivers,Education,High School / Other,J1772,240V,J1772,"1607 Pennsylvania Ave
Austin, Texas 2857
(30.270961016, -97.721416036)",,40A
393,PIE AE / PALMER STATION5,736 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"736 Barton Springs Rd
Austin, Texas 2859
(30.258956588, -97.751607096)",$4.17/month PIE members $2/hr Non-Members,40A
394,WEINSTEIN / ANDERSON 1,8601 Anderson Mill Rd,,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"8601 Anderson Mill Rd
Austin, Texas 3245
(30.455280491, -97.767938365)",$4.17/month PIE members $2/hr Non-Members,40A
395,AMD GO GREEN / P100 FL3 LEFT,7171 Southwest Pkwy,,Austin,Texas,78735,2,,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Pkwy
Austin, Texas 3251
(30.251202984, -97.863350994)",,40A
396,WEINSTEIN / TECH RIDGE 1,1304 FM734,,Austin,Texas,78753,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"1304 FM734
Austin, Texas 3642
(30.392186056, -97.652810192)",$4.17/month PIE members $2/hr Non-Members,40A
397,FLORA / STATION 1,5406 Middle Fiskville Rd,,Austin,Texas,78751,2,,Flora Apartments,Multi-family Commercial,Apartment,J1772,240V,J1772,"5406 Middle Fiskville Rd
Austin, Texas 3640
(30.316845984, -97.714876979)",,40A
398,ENDEAVOR REG / 2500 BEE CAVES2,2500 Bee Caves Rd.,,Austin,Texas,78746,2,,Tenant Only,Workplace,General,J1772,240V,J1772,"2500 Bee Caves Rd.
Austin, Texas 3260
(30.268663997, -97.784114013)",,40A
399,PRESIDIUM / VIOLET,409 E William Cannon Dr,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"409 E William Cannon Dr
Austin, Texas 3259
(30.191019997, -97.775542009)",$4.17/month PIE members $2/hr Non-Members,40A
400,INDEED TOWER / B2-NG,200 W 6TH ST,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"200 W 6TH ST
Austin, Texas 2856
(30.268915999, -97.74474698)",$4.17/month PIE members $2/hr Non-Members,40A
401,PIE AE / MUELLERHQ P2-8,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,40A
402,SUSTAINABLEFOOD / SUSTAINABLEFOOD,2921 E 17th St,,Austin,Texas,78702,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"2921 E 17th St
Austin, Texas 2857
(30.277994983, -97.710082027)",$4.17/month PIE members $2/hr Non-Members,40A
403,LADERA BEND / GATED GARAGE 2,7300 Ranch Rd 2222,,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"7300 Ranch Rd 2222
Austin, Texas 3639
(30.372443986, -97.802253039)",$4.17/month PIE members $2/hr Non-Members,30A
404,BOULDIN CREEK / 1,2043 S Lamar Blvd,,Austin,Texas,78704,2,,Tenant,Workplace,General,J1772,240V,J1772,"2043 S Lamar Blvd
Austin, Texas 2859
(30.248294002, -97.769373012)",,40A
405,PARK BEND / CTBS STATION 1,2217 Park Bend Dr,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,CTBS Access,Workplace,General,J1772,240V,J1772,"2217 Park Bend Dr
Austin, Texas 3646
(30.407851995, -97.70396198)",$4.17/month PIE members $2/hr Non-Members,40A
406,FROST / 3,515 Congress Ave,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Tenants,Parking,Commercial,J1772,240V,J1772,"515 Congress Ave
Austin, Texas 2856
(30.267649996, -97.742504989)",$4.17/month PIE members $2/hr Non-Members,40A
407,AUSTIN FC / SIX,10414 Mc Kalla Pl,,Austin,Texas,78758,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10414 Mc Kalla Pl
Austin, Texas 3646
(30.387724992, -97.719413013)",,40A
408,SALTILLO / BLOCK 4,1211 E 5th St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"1211 E 5th St
Austin, Texas 2857
(30.262996992, -97.730679967)",$4.17/month PIE members $2/hr Non-Members,40A
409,WALLERCREEKSIDE / CREEKSIDE1,102 E 50th St,,Austin,Texas,78751,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"102 E 50th St
Austin, Texas 3640
(30.314774832, -97.723802242)",$4.17/month PIE members $2/hr Non-Members,40A
410,FOUNDATION COMM / 2900MP PROSPER,2900 S IH 35 Frontage Rd,,Austin,Texas,78704,2,,All Drivers,Workplace,General,J1772,240V,J1772,"2900 S IH 35 Frontage Rd
Austin, Texas 2859
(30.227864999, -97.745735961)",,40A
411,AMD GO GREEN / P100 FLOOR 5,7171 Southwest Pkwy,,Austin,Texas,78735,2,,AMD Lone Star,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Pkwy
Austin, Texas 3251
(30.251202984, -97.863350994)",,40A
412,AVIATION / 1ST FLOOR R,3201 Presidential Blvd,,Austin,Texas,78719,2,,All Drivers,Parking,Airport,J1772,240V,J1772,"3201 Presidential Blvd
Austin, Texas 2863
(30.204258773, -97.670137162)",,40A
413,RAINEY STREET / MILLENNIUM-01,91 Rainey St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"91 Rainey St
Austin, Texas 2856
(30.260197017, -97.737995022)",$4.17/month PIE members $2/hr Non-Members,40A
414,CITADELTECHRIDG / CITADEL TCHRDG1,1127 Pearl Retreat Dr,,Austin,Texas,78753,2,,Austin Citadel Access Policy,Multi-family Commercial,Apartment,J1772,240V,J1772,"1127 Pearl Retreat Dr
Austin, Texas 3642
(30.393527993, -97.651817993)",,40A
415,FOUNDRY / STATION 3,310 Comal St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"310 Comal St
Austin, Texas 2857
(30.261140987, -97.728030029)",$4.17/month PIE members $2/hr Non-Members,40A
416,CEDARHILLS-AE / CEDARHILL 1,4100 W Slaughter Ln,,Austin,Texas,78749,2,,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"4100 W Slaughter Ln
Austin, Texas 3638
(30.190305021, -97.855761013)",,40A
417,NATIONAL INSTRU / 1&2,11500 N Mopac Expy,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"11500 N Mopac Expy
Austin, Texas 3647
(30.406639008, -97.727892985)",$4.17/month PIE members $2/hr Non-Members,40A
418,TR DOMAIN 10 / COUSINS DOMAIN9,11815 Alterra Parkway,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"11815 Alterra Parkway
Austin, Texas 3646
(30.403614985, -97.718629976)",$4.17/month PIE members $2/hr Non-Members,40A
419,PIE AE / MUELLERHQ P1-1,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,40A
420,NRP GROUP / LOYOLA,6200 Loyola Ln,,Austin,Texas,78724,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"6200 Loyola Ln
Austin, Texas 3240
(30.302478019, -97.650846028)",$4.17/month PIE members $2/hr Non-Members,
421,DCMC GARAGE 3 / EV STATION 1,4924 Mueller/Barbara Jordan,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4924 Mueller/Barbara Jordan
Austin, Texas 3239
(30.30385548, -97.704084562)",,40A
422,PIE AE / PUBHEBBRODIEST1,6900 Brodie Ln,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"6900 Brodie Ln
Austin, Texas 3638
(30.216256986, -97.830998021)",$4.17/month PIE members $2/hr Non-Members,40A
423,AUSTIN / AUSTIN 200 3,200 W Cesar Chavez St,,Austin,Texas,78701,2,,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"200 W Cesar Chavez St
Austin, Texas 2856
(30.264410013, -97.746215992)",,40A
424,CITY VIEW / STATION2,1120 S Capital of Texas Hwy,,Austin,Texas,78746,2,,All Drivers,Workplace,General,J1772,240V,J1772,"1120 S Capital of Texas Hwy
Austin, Texas 3260
(30.28235001, -97.825149967)",,40A
425,AVIATION / 2ND FLOOR R,3201 Presidential Blvd,,Austin,Texas,78719,2,,All Drivers,Parking,Airport,J1772,240V,J1772,"3201 Presidential Blvd
Austin, Texas 2863
(30.204258773, -97.670137162)",,40A
426,SIENNATHOMPSON / #2,525 Brazos St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"525 Brazos St
Austin, Texas 2856
(30.267217071, -97.741586981)",$4.17/month PIE members $2/hr Non-Members,40A
427,HANOVER / L7,110 San Antonio St,,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"110 San Antonio St
Austin, Texas 2856
(30.26531199, -97.749484013)",$4.17/month PIE members $2/hr Non-Members,40A
